Type;Code
Class;AddTester
Method;main(String[])
Class;Animal
Variable;species
Variable;isMammal
Variable;habitat
Method;displayInfo()
Class;AreaTester
Method;main(String[])
Class;Balloon
Variable;balloonRadius
Variable;balloonVolume
Method;inflate(int)
Method;getVolume()
Class;BarChartComponent
Method;paintComponent(Graphics)
Class;Battery
Variable;currentCapacity
Variable;batteryCapacity
Method;drain(double)
Method;charge()
Method;getRemainingCapacity()
Class;BatteryTester
Method;main(String[])
Class;Book
Variable;title
Variable;author
Variable;pages
Method;getTitle()
Method;getAuthor()
Method;getPages()
Class;BrighterDemo
Method;main(String[])
Class;Bug
Variable;currentPosition
Variable;xPosition
Method;turn()
Method;move()
Method;getPosition()
Class;BugTester
Method;main(String[])
Class;Calculator
Method;add(int, int)
Method;subtract(int, int)
Method;multiply(int, int)
Method;divide(int, int)
Class;Car
Variable;mpg
Variable;fuel
Method;addGas(double)
Method;getGasInTank()
Method;drive(int)
Class;CarColor
Variable;xTop
Variable;size
Variable;col
Method;draw(Graphics2D)
Class;CarColorComponent
Method;paintComponent(Graphics)
Class;CarColorViewer
Method;main(String[])
Class;CarTester
Method;main(String[])
Class;CashRegister
Variable;purchase
Variable;payment
Variable;priceString
Variable;salesCount
Variable;salesTotal
Variable;salesTax
Variable;totalSalesTax
Method;recordPurchase(double)
Method;recordTaxablePurchase(double)
Method;recievePayment(double)
Method;giveChange()
Method;printReceipt()
Method;getSalesTotal()
Method;getSalesCount()
Method;getPayment()
Class;CashRegisterTaxable
Method;main(String[])
Class;ColorNameComponent
Method;paint(Graphics)
Class;Counter
Variable;value
Variable;limit
Method;getValue()
Method;click()
Method;reset()
Method;undo()
Method;setLimit(int)
Class;CounterTester
Method;main(String[])
Class;Course
Variable;courseName
Variable;courseCode
Variable;credits
Method;displayCourseInfo()
Class;DarkerDemo
Method;main(String[])
Class;Day
Variable;year
Variable;month
Variable;date
Variable;DAYS_PER_MONTH
Variable;GREGORIAN_START_YEAR
Variable;GREGORIAN_START_MONTH
Variable;GREGORIAN_START_DAY
Variable;JULIAN_END_DAY
Variable;JANUARY
Variable;FEBRUARY
Variable;DECEMBER
Method;getYear()
Method;getMonth()
Method;getDate()
Method;addDays(int)
Method;daysFrom(Day)
Method;toString()
Method;compareTo(Day)
Method;nextDay()
Method;previousDay()
Method;daysPerMonth(int, int)
Method;isLeapYear(int)
Class;DayTester
Method;main(String[])
Class;DialogViewer
Method;main(String[])
Class;DieSimulator
Method;main(String[])
Class;DoubleSizePicture
Method;main(String[])
Class;Employee
Variable;id
Variable;name
Variable;salary
Method;raiseSalary(double)
Method;getInfo()
Class;FaceComponent
Method;paint(Graphics)
Class;FaceViewer
Method;main(String[])
Class;February
Method;main(String[])
Class;Flight
Variable;flightNumber
Variable;airline
Variable;capacity
Variable;bookedSeats
Method;bookSeat()
Method;getFlightDetails()
Class;FourRectanglePrinter
Method;main(String[])
Class;FrameViewer
Method;main(String[])
Class;GardenPlant
Variable;name
Variable;season
Variable;isPerennial
Method;displayPlantDetails()
Class;Greeter
Variable;name
Variable;hello
Variable;goodbye
Method;sayHello()
Method;sayGoodbye()
Method;refuseHelp()
Class;GreeterTester
Method;main(String[])
Class;Greeting
Method;main(String[])
Class;GregorianCalendarTester
Method;main(String[])
Class;GrowSquarePrinter
Method;main(String[])
Class;HalfSizePicture
Method;main(String[])
Class;HelloWorld
Method;main(String[])
Class;HollePrinter
Method;main(String[])
Class;House
Variable;xLeft
Variable;yTop
Variable;width
Variable;height
Method;draw(Graphics2D)
Class;HouseComponent
Method;paintComponent(Graphics)
Class;HouseViewer
Method;main(String[])
Class;Interest
Method;main(String[])
Class;IntersectionPrinter
Method;main(String[])
Class;LastDigitDistribution
Variable;counters
Method;process(Sequence, int)
Method;display()
Class;LeapYearTester
Method;main(String[])
Class;Letter
Variable;sender
Variable;recipient
Variable;text
Method;addLine(String)
Method;getText()
Method;getRecipient()
Method;getSender()
Class;LetterE
Variable;xTop
Method;draw(Graphics2D)
Class;LetterH
Variable;xTop
Method;draw(Graphics2D)
Class;LetterL
Variable;xTop
Method;draw(Graphics2D)
Method;moveTo(int, int)
Class;LetterO
Variable;xTop
Method;draw(Graphics2D)
Class;LetterPrinter
Method;main(String[])
Class;LettersName
Method;main(String[])
Class;Library
Variable;name
Variable;numberOfBooks
Method;addBook(int)
Method;lendBook(int)
Method;getInfo()
Class;LineDistanceComponent
Method;paintComponent(Graphics)
Class;LineDistanceTester
Method;main(String[])
Class;LineDistanceViewer
Method;main(String[])
Class;LinkedList
Variable;first
Variable;currentSize
Method;getSize()
Method;isEmpty()
Method;getFirstNode()
Method;addFirst(Object)
Method;removeFirst()
Method;addLast(Object)
Method;addAt(int, Object)
Method;listIterator()
Method;easyToString()
Method;toString()
Class;Node
Variable;data
Variable;next
Variable;previous
Method;easyToString()
Method;toString()
Class;LinkedListIterator
Variable;position
Variable;previous
Variable;isAfterNext
Method;getPosition()
Method;getPrevious()
Method;hasNext()
Method;next()
Method;add(Object)
Method;remove()
Method;set(Object)
Method;hasPrevious()
Method;previous()
Interface;ListIterator
Method;hasNext()
Method;next()
Method;add(Object)
Method;remove()
Method;set(Object)
Method;hasPrevious()
Method;previous()
Method;getPosition()
Method;getPrevious()
Class;LotteryPrinter
Method;main(String[])
Class;Moth
Variable;currentPosition
Method;moveToLight(double)
Method;getPosition()
Class;MothTester
Method;main(String[])
Class;MusicTrack
Variable;title
Variable;artist
Variable;duration
Method;playTrack()
Class;NameComponent
Method;paintComponent(Graphics)
Class;NameInBox
Method;main(String[])
Class;NameViewer
Method;main(String[])
Class;OlympicRings
Variable;xPosition
Method;draw(Graphics2D)
Method;moveTo(int, int)
Class;OlympicRingsComponent
Method;paintComponent(Graphics)
Class;OlympicRingsViewer
Method;main(String[])
Class;Patient
Variable;name
Variable;age
Variable;illness
Method;getPatientInfo()
Class;PerimeterTester
Method;main(String[])
Class;Person
Variable;name
Variable;age
Method;getName()
Method;getAge()
Method;birthday()
Class;Picture
Variable;source
Variable;frame
Variable;label
Variable;image
Method;getWidth()
Method;getHeight()
Method;load(String)
Method;reload()
Method;pick()
Method;move(int, int)
Method;scale(int, int)
Method;border(int)
Method;getColorAt(int, int)
Method;setColorAt(int, int, Color)
Method;setImage(BufferedImage)
Class;Poem
Method;main(String[])
Class;PointTester
Method;main(String[])
Class;PrintLetterComponent
Method;paintComponent(Graphics)
Class;PrintLetterViewer
Method;main(String[])
Class;PrintProduct
Method;main(String[])
Class;PrintSum
Method;main(String[])
Class;Question
Variable;text
Variable;answer
Method;setText(String)
Method;setAnswer(String)
Method;checkAnswer(String)
Method;display()
Class;QuestionDemo
Method;main(String[])
Class;Quiz
Variable;topic
Variable;questions
Variable;score
Method;addQuestion(String)
Method;takeQuiz()
Method;updateScore(int)
Method;getQuizResults()
Class;RandomPrice
Method;main(String[])
Class;RandomSequence
Method;next()
Class;Rectangle
Variable;length
Variable;width
Method;calculateArea()
Method;calculatePerimeter()
Method;getDimensions()
Class;ReplaceTester
Method;main(String[])
Class;RestaurantBill
Method;main(String[])
Class;ReverseTester
Method;main(String[])
Class;RoachPopulation
Variable;populationSize
Method;breed()
Method;spray(double)
Method;getRoachPopulation()
Class;RoachSimulation
Method;main(String[])
Class;SalesTax
Method;main(String[])
Class;SavingsAccount
Variable;balance
Variable;interestRate
Method;addInterest()
Method;getBalance()
Class;SavingsAccountTester
Method;main(String[])
Interface;Sequence
Method;next()
Class;SequenceDemo
Method;main(String[])
Class;ShoppingCart
Variable;items
Method;addItem(String, int)
Method;removeItem(String, int)
Method;displayCartContents()
Class;SquareSequence
Variable;n
Method;next()
Class;Star
Variable;xPosition
Variable;yPosition
Variable;length
Method;draw(Graphics2D)
Class;StarComponent
Method;paintComponent(Graphics)
Class;StarViewer
Method;main(String[])
Class;Student
Variable;studentName
Variable;quizScore
Variable;quizCount
Variable;quizString
Method;getName()
Method;addQuiz(int)
Method;getTotalScore()
Method;getAverageScore()
Class;StudentTester
Method;main(String[])
Class;Target
Variable;xLeft
Variable;yTop
Variable;height
Variable;width
Method;draw(Graphics2D)
Class;TargetComponent
Method;paintComponent(Graphics)
Class;TargetViewer
Method;main(String[])
Class;Task
Variable;title
Variable;dueDate
Variable;isCompleted
Method;markAsCompleted()
Method;getTaskDetails()
Class;Test
Method;main(String[])
Class;ThreeItems
Method;main(String[])
Class;Timer
Variable;hours
Variable;minutes
Variable;seconds
Method;tick()
Method;getTime()
Class;TrafficLightComponent
Method;paint(Graphics)
Class;TrafficLightViewer
Variable;scene
Method;main(String[])
Class;TrainOrCar
Method;main(String[])
Class;TranslateDemo
Method;main(String[])
Class;TwoSquareComponent
Method;paintComponent(Graphics)
Class;TwoSquareViewer
Method;main(String[])
Class;Vehicle
Variable;type
Variable;maxSpeed
Method;displayInfo()
Class;VotingMachine
Variable;democratVotes
Variable;republicanVotes
Method;voteDemocrat()
Method;voteRepublican()
Method;getRepublicanVotes()
Method;getDemocratVotes()
Method;clear()
Method;getWinner()
Class;VotingMachineSimulator
Method;main(String[])
Class;Weather
Variable;city
Variable;temperature
Method;getWeatherReport()
Method;updateTemperature(double)
Class;WorkOrPersonal
Method;main(String[])
